a_etage,cheminee,classification_f,cuve_eau,douche_wc,etat_general,garage_ferme,gardien_securite,groupe_electrogene,loyer_mensuel,meuble,nombre_chambres,nombre_salles_eau,piscine,quartier,superficie,surface_terrain,terrasse_balcon,type_d_acces,type_logement,nom_quartier,id_quartier
False,False,F4,False,interieur,bon,False,False,False,3000000.0,True,3,2.0,True,ankerana ankadindramamy,0.0,0.0,False,voiture_avec_parking,Appartement,ankerana ankadindramamy,153.0
False,False,F4,True,interieur,bon,False,True,True,4500000.0,False,3,2.0,True,ambatobe,0.0,0.0,True,voiture_avec_parking,Appartement,ambatobe,143.0
False,False,F4,True,interieur,bon,False,True,True,4500000.0,False,3,2.0,True,ambatobe,0.0,0.0,True,voiture_avec_parking,Appartement,ambatobe,499.0
False,False,F4,True,interieur,bon,False,True,True,4500000.0,False,3,2.0,True,ambatobe,0.0,0.0,True,voiture_avec_parking,Appartement,ambatobe,550.0
False,False,F3,False,interieur,bon,False,False,False,1200000.0,False,2,1.0,False,alarobia amboniloha,0.0,0.0,False,voiture_avec_parking,Appartement,alarobia amboniloha,138.0
False,False,F4,False,interieur,bon,True,False,False,2400000.0,False,3,2.0,False,ambohibao,0.0,0.0,True,voiture_avec_parking,Villa,ambohibao,360.0
False,False,F4,False,interieur,bon,True,False,False,2400000.0,False,3,2.0,False,ambohibao,0.0,0.0,True,voiture_avec_parking,Villa,ambohibao,439.0
False,False,F4,False,interieur,bon,True,False,False,2400000.0,False,3,2.0,False,ambohibao,0.0,0.0,True,voiture_avec_parking,Villa,ambohibao,675.0
False,False,F4,False,interieur,bon,True,False,False,2400000.0,False,3,2.0,False,ambohibao,0.0,0.0,True,voiture_avec_parking,Villa,ambohibao,870.0
False,True,F3,False,interieur,bon,False,False,False,1200000.0,True,2,2.0,False,alasora,0.0,0.0,False,voiture_avec_parking,Villa,alasora,192.0
False,True,F4,True,interieur,bon,True,True,False,1700000.0,True,3,2.0,False,ivato,0.0,0.0,False,voiture_avec_parking,Villa,,
True,False,F4,False,interieur,bon,False,False,False,5000000.0,True,3,2.0,False,ambatobe,0.0,0.0,False,voiture_avec_parking,Villa,ambatobe,143.0
True,False,F4,False,interieur,bon,False,False,False,5000000.0,True,3,2.0,False,ambatobe,0.0,0.0,False,voiture_avec_parking,Villa,ambatobe,499.0
True,False,F4,False,interieur,bon,False,False,False,5000000.0,True,3,2.0,False,ambatobe,0.0,0.0,False,voiture_avec_parking,Villa,ambatobe,550.0
False,False,F2,False,interieur,bon,False,True,False,2500000.0,True,1,1.0,False,ambatobe,0.0,0.0,True,voiture_avec_parking,Appartement,ambatobe,143.0
False,False,F2,False,interieur,bon,False,True,False,2500000.0,True,1,1.0,False,ambatobe,0.0,0.0,True,voiture_avec_parking,Appartement,ambatobe,499.0
False,False,F2,False,interieur,bon,False,True,False,2500000.0,True,1,1.0,False,ambatobe,0.0,0.0,True,voiture_avec_parking,Appartement,ambatobe,550.0
False,False,F5,False,interieur,bon,False,False,False,1500000.0,False,4,1.0,False,ivandry,0.0,0.0,True,voiture_avec_parking,Maison,ivandry,139.0
