"a_etage","cheminee","classification_f","cuve_eau","douche_wc","etat_general","garage_ferme","gardien_securite","groupe_electrogene","loyer_mensuel","meuble","nombre_chambres","nombre_salles_eau","piscine","quartier","superficie","surface_terrain","terrasse_balcon","type_d_acces","type_logement"
"False","False","F0","False","interieur","bon","False","True","False","2500000","False","2","1.0","False","Mandroseza Afovoany","0","0","True","voiture_avec_parking","Appartement"
"False","False","F5","True","interieur","bon","False","True","False","5000000","False","4","2.0","True","Talatamaty","0","0","True","voiture_avec_parking","Villa"
"False","False","F2","True","interieur","bon","True","True","False","2000000","True","1","1.0","False","Ambatobe","0","0","False","voiture_avec_parking","Appartement"
"False","False","F4","False","interieur","bon","True","False","False","3000000","False","3","1.0","False","Soavimasoandro","0","0","True","voiture_avec_parking","Villa"
"False","False","F4","True","interieur","bon","False","False","False","3500000","False","3","3.0","False","Antanimena","0","0","False","sans","Appartement"
"False","True","F7","False","interieur","bon","False","False","False","3000000","False","6","2.0","False","Ambatobe","0","0","True","voiture_avec_parking","Villa"
"False","True","F7","True","interieur","bon","False","False","False","5000000","True","6","2.0","False","Ankerana","0","0","False","voiture_avec_parking","Villa"
"False","False","F3","True","interieur","bon","False","True","False","3000000","True","2","2.0","False","Ivandry","0","0","False","voiture_avec_parking","Appartement"
"False","False","F3","False","interieur","bon","False","True","False","1100000","False","2","1.0","False","Ambohimiandra","0","0","False","voiture_avec_parking","Appartement"
"False","True","F4","True","interieur","bon","False","False","True","3200000","True","3","2.0","False","Ilafy","0","0","True","voiture_avec_parking","Villa"
"False","False","F4","False","interieur","bon","False","True","False","5000000","True","3","2.0","False","Ambatobe","0","0","True","voiture_avec_parking","Villa"
"False","True","F5","False","interieur","bon","True","True","False","5000000","False","4","2.0","False","Androhibe","0","0","True","voiture_avec_parking","Villa"
"False","False","F1","False","interieur","bon","False","True","False","1300000","True","0","1.0","False","Ivandry","0","0","True","voiture_avec_parking","Appartement"
"False","False","F2","False","interieur","bon","False","False","False","3000000","True","1","1.0","False","Mandroseza Afovoany","0","0","False","sans","Appartement"
"False","False","F6","True","interieur","bon","True","False","False","4000000","True","5","2.0","False","Ambatobe","0","0","False","voiture_avec_parking","Villa"
"False","False","F4","False","interieur","bon","False","False","False","3000000","True","3","2.0","False","Ivato","0","0","True","voiture_avec_parking","Villa"
"False","False","F4","False","interieur","bon","True","True","False","3000000","False","3","2.0","False","Talatamaty","0","0","True","voiture_avec_parking","Villa"
